THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260907; descriptive; 647 rows; 27s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | sport2w2 | W2 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 10.94 | - (-) [no] | 13.3 | 10.2 | 19/27 (0.0) | 30.5 | 0.000 | 10.9 | - | - | 0/0 | -/0.0 | - | - | - / 10.9 | -
full | sport2w2 | W3 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.7 (1.8) [yes] | 16.2 | 0.0 | 2/3 (0.0) | 32.1 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport2w2 | W3 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 14.95 | 31.1 (13.9) [yes] | 64.0 | 6.7 | 15/40 (0.0) | 26.5 | 0.000 | 15.0 | - | - | 0/0 | -/0.0 | - | - | - / 15.0 | -
full | sport2w2 | W3 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 87.11 | - (-) [no] | 93.4 | 86.0 | 0/0 (100.0) | 3.4 | 0.000 | 87.1 | - | - | 0/0 | -/0.0 | - | - | - / 87.1 | -
full | sport2w2 | W3 |  | strat_t256 | strat512 | 256 | 14 | rg | None | 512 | 17.97 | 30.1 (13.0) [yes] | 64.5 | 9.9 | 15/68 (0.0) | 25.7 | 0.000 | 29.7 | - | - | 0/4 | -/14.3 | - | - | - / - | -
full | sport2w2 | W3 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/3 (0.0) | 32.0 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W3 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 14.45 | 30.1 (10.9) [yes] | 53.9 | 7.6 | 14/42 (0.0) | 25.8 | 0.000 | 27.1 | - | - | 0/5 | -/14.8 | - | - | - / 27.1 | -
full | sport2w2 | W3 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 12.50 | - (-) [no] | 20.0 | 10.2 | 20/42 (0.0) | 27.3 | 0.000 | 12.5 | - | - | 0/0 | -/0.0 | - | - | - / 12.5 | -
full | sport2w2 | W4 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.12 | 31.9 (3.4) [yes] | 14.7 | 0.0 | 2/3 (0.0) | 32.5 | 0.000 | 2.1 | - | - | 0/0 | -/0.0 | - | - | - / 2.1 | -
full | sport2w2 | W4 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 1.79 | 40.3 (15.7) [no] | 8.3 | 0.7 | 15/35 (0.0) | 26.8 | 0.000 | 1.8 | - | - | 0/0 | -/0.0 | - | - | - / 1.8 | -
full | sport2w2 | W4 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 93.16 | -73.3 (165.8) [no] | 94.7 | 92.9 | 0/0 (100.0) | 3.1 | 0.000 | 93.2 | - | - | 0/0 | -/0.0 | - | - | - / 93.2 | -
full | sport2w2 | W4 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 1.76 | 45.4 (21.6) [no] | 9.2 | 0.5 | 16/61 (0.0) | 24.2 | 0.000 | 14.8 | - | - | 5/13 | -/13.3 | - | - | - / 14.8 | -
full | sport2w2 | W4 |  | strat_t6 | strat512 | 6 | 4 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/2 (0.0) | 32.4 | 0.000 | 1.6 | - | - | 0/4 | -/0.2 | - | - | - / 1.6 | -
full | sport2w2 | W4 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 2.34 | 46.0 (24.0) [no] | 7.9 | 1.4 | 14/36 (0.0) | 27.0 | 0.000 | 14.6 | - | - | 4/14 | -/12.6 | - | - | - / 14.6 | -
full | sport2w2 | W4 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 16/37 (0.0) | 27.5 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W4s1 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.24 | 31.5 (3.0) [yes] | 15.5 | 0.0 | 2/3 (0.0) | 31.5 | 0.000 | 2.2 | - | - | 0/0 | -/0.0 | - | - | - / 2.2 | -
full | sport2w2 | W4s1 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 0.55 | 49.7 (20.2) [no] | 2.4 | 0.2 | 15/46 (0.0) | 30.6 | 0.000 | 0.6 | - | - | 0/0 | -/0.0 | - | - | - / 0.6 | -
full | sport2w2 | W4s1 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 98.83 | -13.8 (38.5) [no] | 100.0 | 98.6 | 0/0 (100.0) | 3.0 | 0.000 | 98.8 | - | - | 0/0 | -/0.0 | - | - | - / 98.8 | -
full | sport2w2 | W4s1 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.78 | - (-) [no] | 1.3 | 0.7 | 25/147 (0.0) | 30.8 | 0.000 | 25.6 | - | - | 6/13 | -/25.0 | - | - | - / 25.6 | -
full | sport2w2 | W4s1 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/2 (0.0) | 31.3 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W4s1 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.98 | 61.8 (34.5) [no] | 3.9 | 0.5 | 16/49 (0.0) | 30.6 | 0.000 | 23.0 | - | - | 6/14 | -/22.3 | - | - | - / 23.0 | -
full | sport2w2 | W4s1 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 15/16 (0.0) | 31.7 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W5 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.28 | 31.3 (2.6) [yes] | 15.8 | 0.0 | 2/3 (0.0) | 32.4 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport2w2 | W5 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 0.01 | 62.0 (17.3) [no] | 0.1 | 0.0 | 13/30 (0.0) | 33.4 | 0.000 | 0.0 | - | - | 0/0 | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W5 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 85.74 | - (-) [no] | 93.4 | 84.4 | 0/0 (100.0) | 3.3 | 0.000 | 85.7 | - | - | 0/0 | -/0.0 | - | - | - / 85.7 | -
full | sport2w2 | W5 |  | strat_t256 | strat512 | 256 | 1 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 12/27 (0.0) | 37.1 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W5 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/2 (0.0) | 32.2 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W5 |  | strat_t64 | strat512 | 64 | 11 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 12/27 (0.0) | 34.1 | 0.000 | 0.6 | - | - | 5/11 | -/0.6 | - | - | - / - | -
full | sport2w2 | W5 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 21/25 (0.0) | 32.8 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W6 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.22 | 31.6 (2.8) [yes] | 15.4 | 0.0 | 3/4 (0.0) | 35.3 | 0.000 | 2.2 | - | - | 0/0 | -/0.0 | - | - | - / 2.2 | -
full | sport2w2 | W6 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 0.02 | 91.7 (33.5) [no] | 0.1 | 0.0 | 3/26 (0.0) | 92.8 | 0.000 | 0.0 | - | - | 0/0 | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W6 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 14.06 | 33.1 (18.3) [yes] | 23.7 | 12.4 | 0/0 (99.4) | 9.6 | 0.000 | 14.1 | - | - | 0/0 | -/0.0 | - | - | - / 14.1 | -
full | sport2w2 | W6 |  | strat_t256 | strat512 | 256 | 1 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 14/28 (0.0) | 209.2 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W6 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/3 (0.0) | 35.0 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W6 |  | strat_t64 | strat512 | 64 | 1 | rg | None | 512 | 0.20 | - (-) [no] | 1.3 | 0.0 | 14/28 (0.0) | 89.9 | 0.000 | 0.2 | - | - | 0/0 | -/0.0 | - | - | - / 0.2 | -
full | sport2w2 | W6 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 11/11 (0.0) | 86.8 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W7 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.37 | 30.5 (2.0) [yes] | 16.4 | 0.0 | 2/3 (0.0) | 31.9 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport2w2 | W7 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 0.34 | 40.4 (10.6) [no] | 1.8 | 0.1 | 12/20 (0.0) | 29.4 | 0.000 | 0.3 | - | - | 0/0 | -/0.0 | - | - | - / 0.3 | -
full | sport2w2 | W7 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 60.55 | 22.4 (28.3) [yes] | 77.6 | 57.6 | 0/0 (100.0) | 4.2 | 0.000 | 60.5 | - | - | 0/0 | -/0.0 | - | - | - / 60.5 | -
full | sport2w2 | W7 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 2.34 | 43.4 (20.9) [no] | 7.9 | 1.4 | 12/22 (0.0) | 19.1 | 0.000 | 9.4 | - | - | 3/13 | -/7.2 | - | - | - / 9.4 | -
full | sport2w2 | W7 |  | strat_t6 | strat512 | 6 | 3 | rg | None | 512 | 1.56 | 30.6 (3.0) [yes] | 10.5 | 0.0 | 2/4 (0.0) | 31.9 | 0.000 | 1.6 | - | - | 0/0 | -/0.0 | - | - | - / - | -
full | sport2w2 | W7 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.39 | 39.3 (10.1) [no] | 2.6 | 0.0 | 12/19 (0.0) | 29.0 | 0.000 | 2.1 | - | - | 3/15 | -/1.8 | - | - | - / 2.1 | -
full | sport2w2 | W7 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 13/14 (0.0) | 29.8 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport2w2 | W8 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.7 (1.8) [yes] | 16.2 | 0.0 | 2/3 (0.0) | 37.3 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport2w2 | W8 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 9.35 | 30.3 (8.5) [yes] | 47.2 | 2.9 | 14/28 (0.0) | 34.8 | 0.001 | 9.4 | - | - | 0/0 | -/0.0 | - | - | - / 9.4 | -
full | sport2w2 | W8 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport2w2 | W8 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 8.40 | 30.2 (7.8) [yes] | 43.4 | 2.3 | 13/26 (0.0) | 33.3 | 0.000 | 17.0 | - | - | 1/7 | -/9.4 | - | - | - / 17.0 | -
full | sport2w2 | W8 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/2 (0.0) | 36.4 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W8 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 8.40 | 30.2 (7.8) [yes] | 43.4 | 2.3 | 13/26 (0.0) | 33.5 | 0.000 | 16.6 | - | - | 0/7 | -/9.0 | - | - | - / 16.6 | -
full | sport2w2 | W8 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 4.69 | - (-) [no] | 13.3 | 2.0 | 17/35 (0.0) | 35.8 | 0.000 | 4.7 | - | - | 0/0 | -/0.0 | - | - | - / 4.7 | -
full | sport2w2 | W9 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.32 | 31.1 (2.2) [yes] | 16.0 | 0.0 | 3/4 (0.0) | 36.8 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport2w2 | W9 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 5.24 | 30.5 (6.3) [yes] | 28.1 | 1.4 | 19/47 (0.0) | 27.3 | 0.001 | 5.2 | - | - | 0/0 | -/0.0 | - | - | - / 5.2 | -
full | sport2w2 | W9 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport2w2 | W9 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 5.86 | 30.8 (7.6) [yes] | 21.1 | 3.2 | 29/46 (0.0) | 27.3 | 0.000 | 7.8 | - | - | 0/7 | -/2.1 | - | - | - / 7.8 | -
full | sport2w2 | W9 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/3 (0.0) | 36.4 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport2w2 | W9 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 5.27 | 31.0 (7.4) [yes] | 19.7 | 2.8 | 23/42 (0.0) | 26.3 | 0.000 | 7.2 | - | - | 0/11 | -/2.1 | - | - | - / 7.2 | -
full | sport2w2 | W9 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 3.12 | 50.9 (33.0) [no] | 0.0 | 4.1 | 28/40 (0.0) | 32.3 | 0.000 | 3.1 | - | - | 0/0 | -/0.0 | - | - | - / 3.1 | -
full | sport3a | A10 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.28 | 31.3 (2.5) [yes] | 15.8 | 0.0 | 3/4 (0.0) | 35.9 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport3a | A10 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 9.04 | 30.7 (9.1) [yes] | 44.4 | 3.1 | 12/23 (0.0) | 30.5 | 0.083 | 9.0 | - | - | 0/0 | -/0.0 | - | - | - / 9.0 | -
full | sport3a | A10 |  | full_t64_valbest | full | 64 | 1 | rg | None | 422786 | 10.46 | 30.2 (8.9) [yes] | 51.4 | 3.5 | 16/32 (0.0) | 34.8 | 0.012 | 10.5 | - | - | 0/0 | -/0.0 | - | - | - / 10.5 | -
full | sport3a | A10 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/1 (65.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A10 |  | retfm_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (98.8) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A10 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 8.59 | 31.3 (10.1) [yes] | 42.1 | 2.8 | 12/36 (0.0) | 29.4 | 0.391 | 21.5 | - | - | 2/13 | -/14.1 | - | - | - / 21.5 | -
full | sport3a | A10 |  | strat_t6 | strat512 | 6 | 2 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/3 (0.0) | 35.4 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport3a | A10 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 8.20 | 31.4 (10.1) [yes] | 42.1 | 2.3 | 12/23 (0.0) | 30.3 | 0.195 | 21.1 | - | - | 2/13 | -/14.0 | - | - | - / 21.1 | -
full | sport3a | A10 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 3.12 | 50.9 (33.0) [no] | 6.7 | 2.0 | 10/10 (0.0) | 31.5 | 0.000 | 3.1 | - | - | 0/0 | -/0.0 | - | - | - / 3.1 | -
full | sport3a | A2 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.6 (1.7) [yes] | 16.3 | 0.0 | 2/3 (0.0) | 31.7 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport3a | A2 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 17.73 | 31.8 (17.9) [yes] | 73.3 | 8.3 | 14/39 (0.0) | 21.3 | 0.000 | 17.7 | - | - | 0/0 | -/0.0 | - | - | - / 17.7 | -
full | sport3a | A2 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 54.30 | 24.8 (9.5) [yes] | 84.2 | 49.1 | 0/1 (55.1) | 7.5 | 0.000 | 54.3 | - | - | 0/0 | -/0.0 | - | - | - / 54.3 | -
full | sport3a | A2 |  | retfm_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 1/1 (44.7) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A2 |  | strat_t256 | strat512 | 256 | 15 | rg | None | 512 | 17.58 | 35.9 (29.8) [no] | 69.7 | 8.5 | 16/70 (0.0) | 18.0 | 0.000 | 29.1 | - | - | 0/4 | -/14.0 | - | - | - / - | -
full | sport3a | A2 |  | strat_t6 | strat512 | 6 | 1 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/3 (0.0) | 31.4 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport3a | A2 |  | strat_t64 | strat512 | 64 | 15 | rg | None | 512 | 19.53 | 34.2 (27.2) [yes] | 75.0 | 9.9 | 14/38 (0.0) | 21.4 | 0.000 | 27.0 | - | - | 0/2 | -/9.2 | - | - | - / - | -
full | sport3a | A2 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 15.62 | - (-) [no] | 20.0 | 14.3 | 26/39 (0.0) | 21.5 | 0.000 | 15.6 | - | - | 0/0 | -/0.0 | - | - | - / 15.6 | -
full | sport3a | A2s1 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.8 (2.0) [yes] | 16.2 | 0.0 | 2/3 (0.0) | 30.7 | 0.000 | 2.3 | - | - | 0/0 | -/0.0 | - | - | - / 2.3 | -
full | sport3a | A2s1 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 2.40 | 40.1 (16.8) [no] | 11.3 | 0.9 | 13/44 (0.0) | 23.1 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport3a | A2s1 |  | full_t64_valbest | full | 64 | 1 | rg | None | 422786 | 6.83 | 32.5 (11.0) [yes] | 31.9 | 2.6 | 18/41 (0.0) | 19.6 | 0.000 | 6.8 | - | - | 0/0 | -/0.0 | - | - | - / 6.8 | -
full | sport3a | A2s1 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 98.63 | - (-) [no] | 100.0 | 98.4 | 0/0 (99.2) | 3.0 | 0.000 | 98.6 | - | - | 0/0 | -/0.0 | - | - | - / 98.6 | -
full | sport3a | A2s1 |  | retfm_t8 | strat512 | 8 | 1 | rg | None | 512 | 66.99 | -0.7 (161.0) [no] | 80.3 | 64.7 | 1/2 (20.1) | 3.6 | 0.000 | 67.0 | - | - | 0/0 | -/0.0 | - | - | - / 67.0 | -
full | sport3a | A2s1 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 2.34 | 35.4 (10.9) [no] | 11.8 | 0.7 | 20/111 (0.0) | 26.1 | 0.000 | 17.4 | - | - | 6/14 | -/15.4 | - | - | - / 17.4 | -
full | sport3a | A2s1 |  | strat_t6 | strat512 | 6 | 2 | rg | None | 512 | 1.17 | 33.8 (0.8) [yes] | 7.9 | 0.0 | 2/3 (0.0) | 30.3 | 0.000 | 1.4 | - | - | 0/1 | -/0.2 | - | - | - / 1.4 | -
full | sport3a | A2s1 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 2.15 | 54.1 (32.9) [no] | 11.8 | 0.5 | 13/42 (0.0) | 22.8 | 0.000 | 11.3 | - | - | 7/15 | -/9.4 | - | - | - / 11.3 | -
full | sport3a | A2s1 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 0.00 | - (-) [no] | 0.0 | 0.0 | 11/27 (0.0) | 26.0 | 0.000 | 0.0 | - | - | None/None | -/0.0 | - | - | - / 0.0 | -
full | sport3a | A3 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.6 (1.5) [yes] | 16.3 | 0.0 | 2/3 (0.0) | 32.6 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport3a | A3 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 15.44 | 30.1 (11.6) [yes] | 71.9 | 5.9 | 15/30 (0.0) | 31.8 | 0.000 | 15.4 | - | - | 0/0 | -/0.0 | - | - | - / 15.4 | -
full | sport3a | A3 |  | full_t64_valbest | full | 64 | 1 | rg | None | 422786 | 15.48 | 30.0 (11.2) [yes] | 71.7 | 6.0 | 14/30 (0.0) | 31.1 | 0.000 | 15.5 | - | - | 0/0 | -/0.0 | - | - | - / 15.5 | -
full | sport3a | A3 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A3 |  | retfm_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A3 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 13.87 | 31.8 (14.8) [yes] | 63.2 | 5.3 | 15/33 (0.0) | 30.8 | 0.000 | 22.1 | - | - | 0/8 | -/9.5 | - | - | - / 22.1 | -
full | sport3a | A3 |  | strat_t6 | strat512 | 6 | 2 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/3 (0.0) | 32.6 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport3a | A3 |  | strat_t64 | strat512 | 64 | 15 | rg | None | 512 | 15.62 | 30.2 (11.8) [yes] | 71.1 | 6.0 | 14/30 (0.0) | 31.8 | 0.000 | 22.1 | - | - | 0/8 | -/7.6 | - | - | - / - | -
full | sport3a | A3 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 12.50 | - (-) [no] | 20.0 | 10.2 | 19/28 (0.0) | 32.3 | 0.000 | 12.5 | - | - | 0/0 | -/0.0 | - | - | - / 12.5 | -
full | sport3a | A3s1 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.5 (1.3) [yes] | 16.3 | 0.0 | 2/3 (0.0) | 32.8 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport3a | A3s1 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 17.09 | 29.7 (11.5) [yes] | 78.0 | 6.8 | 15/29 (0.0) | 32.2 | 0.000 | 17.1 | - | - | 0/0 | -/0.0 | - | - | - / 17.1 | -
full | sport3a | A3s1 |  | full_t64_valbest | full | 64 | 1 | rg | None | 422786 | 17.87 | 29.1 (10.0) [yes] | 82.2 | 7.0 | 16/31 (0.0) | 31.1 | 0.000 | 17.9 | - | - | 0/0 | -/0.0 | - | - | - / 17.9 | -
full | sport3a | A3s1 |  | ret_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A3s1 |  | retfm_t8 | strat512 | 8 | 1 | rg | None | 512 | 100.00 | - (-) [no] | 100.0 | 100.0 | 0/0 (100.0) | - | 0.000 | 100.0 | - | - | 0/0 | -/- | - | - | - / 100.0 | -
full | sport3a | A3s1 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 6.84 | 33.5 (12.9) [yes] | 30.3 | 2.8 | 14/37 (0.0) | 34.0 | 0.000 | 15.8 | - | - | 3/14 | -/9.6 | - | - | - / 15.8 | -
full | sport3a | A3s1 |  | strat_t6 | strat512 | 6 | 2 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 2/3 (0.0) | 32.8 | 0.000 | 1.4 | - | - | 0/0 | -/0.0 | - | - | - / 1.4 | -
full | sport3a | A3s1 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 16.41 | 29.3 (9.9) [yes] | 68.4 | 7.3 | 14/32 (0.0) | 31.7 | 0.000 | 21.9 | - | - | 0/11 | -/6.5 | - | - | - / 21.9 | -
full | sport3a | A3s1 |  | val_t64 | 64 | 64 | 1 | rg | None | 64 | 9.38 | - (-) [no] | 13.3 | 8.2 | 13/30 (0.0) | 32.1 | 0.000 | 9.4 | - | - | 0/0 | -/0.0 | - | - | - / 9.4 | -
full | sport3a | A4 |  | full_t6 | full | 6 | 1 | rg | None | 422786 | 2.35 | 30.6 (1.8) [yes] | 16.3 | 0.0 | 2/3 (0.0) | 34.4 | 0.000 | 2.4 | - | - | 0/0 | -/0.0 | - | - | - / 2.4 | -
full | sport3a | A4 |  | full_t64 | full | 64 | 1 | rg | None | 422786 | 7.86 | 34.3 (15.3) [yes] | 37.0 | 2.9 | 14/30 (0.0) | 30.5 | 0.000 | 7.9 | - | - | 0/0 | -/0.0 | - | - | - / 7.9 | -
full | sport3a | A4 |  | full_t64_valbest | full | 64 | 1 | rg | None | 422786 | 11.65 | 30.3 (9.7) [yes] | 55.8 | 4.2 | 26/39 (0.0) | 4.4 | 0.129 | 11.6 | - | - | 0/0 | -/0.0 | - | - | - / 11.6 | -
