THE INSTRUMENT SUITE — record-level backfill over the banked corpus (20260907; descriptive; 647 rows; 27s)
kind | campaign | arm | suffix | eval | set | t | k | cell | ema | n | cold | g50 (width) [in 17-35] | P(cold|r0) | yield | fe med/p90 (step1) | viol on fail | valid-wrong | rho | b1 | r_i median | k50/k90 | rescue 1/any | AUC | spurious | t1r@k / verified@k | majority@k
full | finalA | A5 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 84.49 | 18.0 (17.7) [yes] | 99.8 | 81.9 | 1/4 (35.3) | 22.0 | 0.026 | 84.5 | - | - | 0/0 | -/0.0 | - | - | - / 84.5 | -
full | finalA | A5 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 95.08 | 8.8 (23.9) [no] | 99.9 | 94.3 | 1/5 (39.4) | 33.4 | 0.019 | 95.1 | - | - | 0/0 | -/0.0 | - | - | - / 95.1 | -
full | finalA | A5 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 94.18 | 10.6 (22.5) [no] | 99.9 | 93.2 | 1/5 (34.0) | 31.7 | 0.006 | 94.2 | - | - | 0/0 | -/0.0 | - | - | - / 94.2 | -
full | finalA | A5 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.11 | -19.8 (49.9) [no] | 100.0 | 97.8 | 1/6 (38.2) | 31.0 | 0.016 | 98.1 | - | - | 0/0 | -/0.0 | - | - | - / 98.1 | -
full | finalA | A7 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 80.65 | 20.1 (14.8) [yes] | 99.7 | 77.4 | 1/6 (36.1) | 30.7 | 0.004 | 80.7 | - | - | 0/0 | -/0.0 | - | - | - / 80.7 | -
full | finalA | A7 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 95.12 | 9.2 (23.1) [no] | 100.0 | 94.3 | 1/5 (31.0) | 33.0 | 0.002 | 95.1 | - | - | 0/0 | -/0.0 | - | - | - / 95.1 | -
full | finalA | A7 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 92.94 | 12.5 (21.0) [no] | 99.7 | 91.8 | 1/6 (20.0) | 33.4 | 0.052 | 92.9 | - | - | 0/0 | -/0.0 | - | - | - / 92.9 | -
full | finalA | A7 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 98.04 | -8.0 (37.0) [no] | 100.0 | 97.7 | 1/6 (30.0) | 31.2 | 0.000 | 98.0 | - | - | 0/0 | -/0.0 | - | - | - / 98.0 | -
full | finalA | A8 |  | full_final_t16 | sub50000 | 16 | 1 | dec | True | 50000 | 72.36 | 21.9 (14.0) [yes] | 99.3 | 67.8 | 1/5 (41.8) | 22.2 | 0.000 | 72.4 | - | - | 0/0 | -/0.0 | - | - | - / 72.4 | -
full | finalA | A8 |  | full_vsel_t16 | full | 16 | 1 | dec | True | 422786 | 93.67 | 11.0 (22.6) [no] | 100.0 | 92.6 | 1/4 (37.0) | 32.0 | 0.001 | 93.7 | - | - | 0/0 | -/0.0 | - | - | - / 93.7 | -
full | finalA | A8 |  | full_vsel_t16_alt | sub50000 | 16 | 1 | dec | False | 50000 | 88.77 | 17.0 (16.6) [yes] | 99.9 | 86.9 | 1/5 (14.5) | 29.6 | 0.000 | 88.8 | - | - | 0/0 | -/0.0 | - | - | - / 88.8 | -
full | finalA | A8 |  | full_vsel_t64 | sub100000 | 64 | 1 | dec | True | 100000 | 97.00 | -0.2 (31.8) [no] | 100.0 | 96.5 | 1/6 (35.7) | 30.3 | 0.001 | 97.0 | - | - | 0/0 | -/0.0 | - | - | - / 97.0 | -
full | sport2 | S0 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.16 | 31.9 (2.9) [yes] | 14.9 | 0.0 | 3/5 (0.0) | 42.3 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S0 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 0.08 | 38.0 (5.0) [no] | 0.5 | 0.0 | 3/5 (0.0) | 57.5 | 0.001 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S0 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 3/5 (0.0) | 95.8 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S0 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/5 (0.0) | 41.8 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S0 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.00 | - (-) [no] | 0.0 | 0.0 | 3/5 (0.0) | 60.0 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S1 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.31 | 31.1 (2.2) [yes] | 16.0 | 0.0 | 3/4 (0.0) | 39.5 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S1 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 0.17 | 48.5 (15.5) [no] | 0.9 | 0.1 | 3/21 (0.0) | 40.2 | 0.001 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S1 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.20 | 64.0 (27.1) [no] | 1.3 | 0.0 | 3/58 (0.0) | 50.1 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S1 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/3 (0.0) | 38.6 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S1 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.20 | 64.0 (27.1) [no] | 1.3 | 0.0 | 3/43 (0.0) | 39.2 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S2 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.19 | 31.7 (2.9) [yes] | 15.2 | 0.0 | 3/4 (0.0) | 40.3 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S2 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 1.64 | 33.0 (3.5) [yes] | 11.4 | 0.0 | 3/4 (0.0) | 129.3 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S2 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.78 | 34.1 (0.6) [yes] | 5.3 | 0.0 | 3/3 (0.0) | 210.5 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S2 |  | strat_t6 | strat512 | 6 | 16 | rg | None | 512 | 1.37 | 31.2 (1.0) [yes] | 9.2 | 0.0 | 3/3 (0.0) | 39.9 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S2 |  | strat_t64 | strat512 | 64 | 16 | rg | None | 512 | 0.78 | 34.1 (0.6) [yes] | 5.3 | 0.0 | 3/3 (0.0) | 129.7 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S3 |  | full_t6 | full | 6 | 0 | rg | None | 422786 | 2.30 | 31.2 (2.3) [yes] | 15.9 | 0.0 | 3/4 (0.0) | 39.8 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S3 |  | full_t64 | full | 64 | 0 | rg | None | 422786 | 1.11 | 34.1 (4.9) [yes] | 7.7 | 0.0 | 3/4 (0.0) | 38.9 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
full | sport2 | S3 |  | strat_t256 | strat512 | 256 | 16 | rg | None | 512 | 0.39 | 35.4 (4.9) [no] | 2.6 | 0.0 | 3/14 (0.0) | 40.8 | 0.000 | - | - | - | None/None | -/- | - | - | - / - | -
