kind,campaign,arm,suffix,eval,set,t,k,cell,ema,n,cold,g50,width,g50_in_range,p_cold_r0,yield,fe_med,fe_p90,fe_step1,viol_fail,valid_wrong,givens_kept,rho,b1,r_med,k50,k90,rescue_1,rescue_any,auc,spurious,t1r,t1r_over_verified,ckpt
d3demo,,b2d64,,,strat512,64,128,rg,,512,0.2578125,28.456383157835685,12.341222989610225,True,0.868421052631579,0.15137614678899083,9.0,20.0,0.0,29.326315789473686,0.0,0.9998851102941176,0.6875,,,5,85,,0.5789473684210527,,,,,runs/_d3demo_b2d64.pkl
d3demo,,s5d16,,,strat512,64,127,rg,,512,0.140625,30.1960855921901,10.97739473495296,True,0.6447368421052632,0.052752293577981654,15.0,26.9,0.0,3.631818181818182,0.0,0.9955806460642569,0.70703125,,,18,98,,0.6590909090909091,,,,,runs/_d3demo_s5d16.pkl
full,finalA,A0,,full_final_t16,full,16,1,trm,True,422786,0.8821578765616648,14.758222420641747,22.145539591114016,False,0.9985603743026813,0.8624837208530688,1.0,6.0,0.2698422912544307,32.81708883625708,0.00019395154995671568,0.9999915617177039,0.8821578765616648,,,0,0,,0.0,,,,,runs/pretrainfinalA_A0/ckpt_latest.pkl
full,finalA,A0,,full_vsel_t16,full,16,1,trm,True,422786,0.877924056141878,15.406623058050076,21.13232963620936,False,0.9974642956467682,0.8577195645621981,1.0,6.0,0.23441835904454514,33.781484925986206,0.00040682520234823293,0.9999823774525883,0.877924056141878,,,0,0,,0.0,,,,,runs/pretrainfinalA_A0/ckpt_040000.pkl
full,finalA,A0,,full_vsel_t16_alt,full,16,1,trm,False,422786,0.7954638989938172,19.348788845375097,18.072851073871732,True,0.9881230879971208,0.7629009647209112,1.0,8.0,0.13206930077810253,33.532824515756,0.00046832203526133787,0.9999771941742542,0.7954638989938172,,,0,0,,0.0,,,,,runs/pretrainfinalA_A0/ckpt_040000.pkl
full,finalA,A0,,full_vsel_t64,full,64,1,trm,True,422786,0.9427275264554644,4.008359459326339,32.868923159175154,False,0.9981677491125035,0.9333571126392541,1.0,11.0,0.21830434651706593,31.92306103906831,0.00043047783039173483,0.9999821766352426,0.9427275264554644,,,0,0,,0.0,,,,,runs/pretrainfinalA_A0/ckpt_040000.pkl
full,finalA,A1,,full_final_t16,full,16,1,trm,True,422786,0.8744991556011789,15.893793821715127,20.35795523197079,False,0.9991002339391758,0.8534392894964594,1.0,7.0,0.29730935882247933,34.24229174519412,0.00026017890847852105,0.9999889555139782,0.8744991556011789,,,0,0,,0.0,,,,,runs/pretrainfinalA_A1/ckpt_latest.pkl
full,finalA,A1,,full_vsel_t16,full,16,1,trm,True,422786,0.864605261290582,16.61207640226857,19.61303731724368,False,0.9988548431953147,0.8419146212316021,1.0,6.0,0.27022738712713107,33.35517006446203,0.00022943049202196855,0.9999899694849524,0.864605261290582,,,0,0,,0.0,,,,,runs/pretrainfinalA_A1/ckpt_042000.pkl
full,finalA,A1,,full_vsel_t16_alt,full,16,1,trm,False,422786,0.7915091795849437,19.664807436978105,17.343459393867168,True,0.9896935887578321,0.7580123818292922,1.0,7.0,0.18744382030860382,31.330845065629006,0.00014428103106536166,0.9999883585563771,0.7915091795849437,,,0,0,,0.0,,,,,runs/pretrainfinalA_A1/ckpt_042000.pkl
full,finalA,A1,,full_vsel_t64,full,64,1,trm,True,422786,0.939427984843396,6.824659097978877,29.021317744890677,False,0.9993292653001129,0.9293035704904343,1.0,12.0,0.24870461103082245,32.03494865086493,0.00023179575482631874,0.9999899694849524,0.939427984843396,,,0,0,,0.0,,,,,runs/pretrainfinalA_A1/ckpt_042000.pkl
full,finalA,A2,,full_final_t16,full,16,1,trm,True,422786,0.8554919037054207,16.94307644638483,19.65377369627691,False,0.9993129059171888,0.8311835181759614,1.0,6.0,0.15442229533578478,31.328728558334426,2.365262804350191e-06,0.9999999053894877,0.8554919037054207,,,0,0,,0.0,,,,,runs/pretrainfinalA_A2/ckpt_latest.pkl
