kind,campaign,arm,suffix,eval,set,t,k,cell,ema,n,cold,g50,width,g50_in_range,p_cold_r0,yield,fe_med,fe_p90,fe_step1,viol_fail,valid_wrong,givens_kept,rho,b1,r_med,k50,k90,rescue_1,rescue_any,auc,spurious,t1r,t1r_over_verified,ckpt
full,champ,C3,,sub20k_t128,scan20k,128,1,dec,True,20000,0.98615,-7.6348598348104275,33.56726126215328,False,0.9982746721877157,0.9840954274353877,1.0,7.0,0.28768442934644833,30.20216606498195,0.00015,0.9999936302827608,0.98615,,,0,0,,0.0,,,,,runs/pretrainchamp_C3/ckpt_018000.pkl
full,champ,C3,,sub5k_t256,sub5000,256,1,dec,True,5000,0.9894,-21.991320983825613,45.537780351466246,False,1.0,0.9876254961475601,1.0,7.0,0.2819890842935112,30.943396226415093,0.0002,0.9999916666666666,0.9894,,,0,0,,0.0,,,,,runs/pretrainchamp_C3/ckpt_018000.pkl
full,champ,C4,,full_final_t16,sub50000,16,1,dec,True,50000,0.96408,-2.3268872171591397,36.46485732634902,False,0.9968227655753558,0.9585369846355324,1.0,4.0,0.42179072276159657,34.09521158129176,0.00092,0.9999648839553361,0.96408,,,0,0,,0.0,,,,,runs/pretrainchamp_C4/ckpt_latest.pkl
full,champ,C4,,full_vsel_t16,full,16,1,dec,True,422786,0.9670471586097932,2.7196203559142305,28.854747576706586,False,0.9999018437024555,0.9614941146217846,1.0,4.0,0.3080879727237596,36.364269308067755,2.365262804350191e-06,0.9999998971624868,0.9670471586097932,,,0,0,,0.0,,,,,runs/pretrainchamp_C4/ckpt_020000.pkl
full,champ,C4,,full_vsel_t16_alt,sub50000,16,1,dec,False,50000,0.9392,11.22829121669585,21.863222210745377,False,0.9958557811852465,0.9296087556418231,1.0,5.0,0.12668228279386712,31.345723684210526,0.00024,0.9999904871794871,0.9392,,,0,0,,0.0,,,,,runs/pretrainchamp_C4/ckpt_020000.pkl
full,champ,C4,,full_vsel_t64,sub100000,64,1,dec,True,100000,0.98897,-101.94241194386294,124.20489213536011,False,1.0,0.9871147870376861,1.0,5.0,0.3017786181582859,34.01994560290118,1e-05,0.9999995652173913,0.98897,,,0,0,,0.0,,,,,runs/pretrainchamp_C4/ckpt_020000.pkl
full,champ,C4,,sub20k_t128,scan20k,128,1,dec,True,20000,0.9915,-82.70691550838247,99.5674701226638,False,1.0,0.9900596421471173,1.0,5.0,0.30015128593040846,33.67058823529412,0.0,1.0,0.9915,,,0,0,,0.0,,,,,runs/pretrainchamp_C4/ckpt_020000.pkl
full,champ,C4,,sub5k_t256,sub5000,256,1,dec,True,5000,0.9932,,,False,1.0,0.9920616390380574,1.0,5.0,0.2893677003624648,31.558823529411764,0.0002,0.999991304347826,0.9932,,,0,0,,0.0,,,,,runs/pretrainchamp_C4/ckpt_020000.pkl
full,champ,C5,,full_final_t16,sub50000,16,1,dec,True,50000,0.9603,6.968133505900141,24.68995549444299,False,0.9998618593728416,0.9536025817918197,1.0,6.0,0.21018431740081225,34.52544080604534,0.00014,0.9999944805860804,0.9603,,,0,0,,0.0,,,,,runs/pretrainchamp_C5/ckpt_latest.pkl
full,champ,C5,,full_vsel_t16,full,16,1,dec,True,422786,0.9590596661195026,8.214134215781389,23.17139471421658,False,0.9982004678783516,0.9524441531940309,2.0,6.0,0.1778275956466088,35.04962736148824,0.00020341260117411647,0.9999897093528095,0.9590596661195026,,,0,0,,0.0,,,,,runs/pretrainchamp_C5/ckpt_046000.pkl
full,champ,C5,,full_vsel_t16_alt,sub50000,16,1,dec,False,50000,0.88906,-6.051369577594652,65.76638840296977,False,0.9607680618870009,0.8769205584527958,2.0,7.0,0.028198398277138433,30.359473589327564,0.00024,0.9999799350526807,0.88906,,,0,0,,0.0,,,,,runs/pretrainchamp_C5/ckpt_046000.pkl
full,champ,C5,,full_vsel_t64,sub100000,64,1,dec,True,100000,0.99104,-20.327320819986817,42.32192874078083,False,0.998610918183081,0.9897665942384524,2.0,8.0,0.17275791088149822,32.252232142857146,0.00023,0.9999896998586427,0.99104,,,0,0,,0.0,,,,,runs/pretrainchamp_C5/ckpt_046000.pkl
full,champ,C5,,sub20k_t128,scan20k,128,1,dec,True,20000,0.99425,-11.884981064518747,31.391512259581134,False,0.9975845410628019,0.9936849491287568,2.0,8.0,0.17379934624088508,30.295652173913044,0.00035,0.9999829961472884,0.99425,,,0,0,,0.0,,,,,runs/pretrainchamp_C5/ckpt_046000.pkl
full,champ,C5,,sub5k_t256,sub5000,256,1,dec,True,5000,0.996,-2.271670617007196,21.54461651777018,False,0.99721059972106,0.9957973383142658,2.0,8.0,0.1602409638554217,26.05,0.0008,0.9999604449472096,0.996,,,0,0,,0.0,,,,,runs/pretrainchamp_C5/ckpt_046000.pkl
full,champ,C6,,full_final_t16,sub50000,16,1,dec,True,50000,0.90052,15.331125804665662,18.972995143729506,False,0.9982041718469402,0.8839830686840813,1.0,4.0,0.20268289432772177,27.25251306795336,0.00014,0.9999932984940986,0.90052,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_latest.pkl
full,champ,C6,,full_vsel_t16,full,16,1,dec,True,422786,0.9562426381195215,9.390038501050858,21.99548050075586,False,0.9992638277684166,0.9489712685153695,1.0,5.0,0.3070870621292847,34.35621621621622,0.00017975997313061454,0.9999916333922426,0.9562426381195215,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_028000.pkl
full,champ,C6,,full_vsel_t16_alt,sub50000,16,1,dec,False,50000,0.9036,14.369693785178569,20.608662311518145,False,0.9950269374222959,0.8881223544818877,1.0,5.0,0.22304116865869855,27.046680497925312,0.0001,0.9999944607843138,0.9036,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_028000.pkl
full,champ,C6,,full_vsel_t64,sub100000,64,1,dec,True,100000,0.98497,-12.066125722858217,38.92252177205647,False,0.9996527295457702,0.9825004088689516,1.0,6.0,0.29923754022965166,32.41184298070526,0.0002,0.999990997115128,0.98497,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_028000.pkl
full,champ,C6,,sub20k_t128,scan20k,128,1,dec,True,20000,0.9898,-40.01094409153768,62.510757167200296,False,1.0,0.9880715705765407,1.0,6.0,0.2964235199030107,30.30392156862745,0.00025,0.9999893033596838,0.9898,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_028000.pkl
full,champ,C6,,sub20k_t16_commit,scan20k,16,1,dec,True,20000,0.9561,8.286069798062673,23.646175936026335,False,1.0,0.9486609753245234,1.0,5.0,0.3068716661437088,33.91116173120729,0.00025,0.9999893033596838,0.9561,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_028000.pkl
full,champ,C6,,sub5k_t256,sub5000,256,1,dec,True,5000,0.9934,,,False,1.0,0.9922951202428204,1.0,6.0,0.29071874370847595,30.0,0.0002,0.9999916666666666,0.9934,,,0,0,,0.0,,,,,runs/pretrainchamp_C6/ckpt_028000.pkl
scan,champ,C0,,,sub5000,64,32,dec,True,5000,0.9848,-2.8174225724885034,29.208460676537563,False,1.0,0.9822554284380107,1.0,7.0,0.24228269699431357,32.03947368421053,0.0002,0.999991304347826,0.9958,0.9866,1.0,0,0,0.39473684210526316,0.7236842105263158,0.9993993692180115,0.00043687199650502403,0.9958,1.0,runs/pretrainchamp_C0/ckpt_016000.pkl
scan,champ,C1,,,sub5000,64,32,dec,True,5000,0.9756,-8.591510969754541,40.01521628637316,False,0.99860529986053,0.971748774223675,1.0,6.0,0.2045920459204592,30.131147540983605,0.0004,0.9999849002849003,0.993,0.9762,1.0,0,0,0.26229508196721313,0.7131147540983607,0.9991651231290477,0.0005062009617818274,0.9928,0.9997985901309164,runs/pretrainchamp_C1/ckpt_028000.pkl
scan,champ,C2,,,sub5000,64,32,dec,True,5000,0.9872,-14.102514695385818,39.53006837067238,False,1.0,0.985057202895167,1.0,6.0,0.25506482982171796,32.515625,0.0,1.0,0.997,0.9876,1.0,0,0,0.328125,0.765625,0.9997462087052693,0.0,0.997,1.0,runs/pretrainchamp_C2/ckpt_024000.pkl
scan,champ,C3,,,sub5000,64,32,dec,True,5000,0.9812,0.41133141140825913,27.195331442555464,False,1.0,0.9780527667522765,1.0,7.0,0.2827150428047289,31.372340425531913,0.0002,0.9999916666666666,0.995,0.983,1.0,0,0,0.3723404255319149,0.7340425531914894,0.9990059489989672,0.0007189072609633358,0.9948,0.9997989949748743,runs/pretrainchamp_C3/ckpt_018000.pkl
scan,champ,C4,,,sub5000,64,32,dec,True,5000,0.9878,,,False,1.0,0.985757646509456,1.0,5.0,0.2905446446649119,32.704918032786885,0.0002,0.999991304347826,0.9964,0.99,1.0,0,0,0.36065573770491804,0.7049180327868853,0.9996729815931288,0.0,0.9964,1.0,runs/pretrainchamp_C4/ckpt_020000.pkl
scan,champ,C5,,,sub5000,64,32,dec,True,5000,0.9922,-23.425759251180384,43.92179547043097,False,0.99721059972106,0.9913611954237684,2.0,8.0,0.16085466639790366,29.358974358974358,0.0008,0.9999604449472096,0.9982,0.9916,1.0,0,0,0.41025641025641024,0.7692307692307693,0.9976842335913545,0.0019710906701708277,0.9982,1.0,runs/pretrainchamp_C5/ckpt_046000.pkl
