== EVAL ARTIFACTS on disk: 694 ==
kind | arm | sub | n | t | k | subset | cell | ema | init | recs | ckpt
census | psportC1X0_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC1_X0/ckpt_050000.pkl
census | psportC1X0n_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC1_X0n/ckpt_latest.pkl
census | psportC1X0n_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC1_X0n/ckpt_030000.pkl
census | psportC2R1_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R1/ckpt_latest.pkl
census | psportC2R1_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R1/ckpt_010000.pkl
census | psportC2R2_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R2/ckpt_latest.pkl
census | psportC2R2_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R2a/ckpt_040000.pkl
census | psportC2R3_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R3/ckpt_latest.pkl
census | psportC2R3_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R3a/ckpt_040000.pkl
census | psportC2R4_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R4/ckpt_latest.pkl
census | psportC2R4_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_R4/ckpt_020000.pkl
census | psportC2W0_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_W0/ckpt_latest.pkl
census | psportC2W0_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_W0a/ckpt_050000.pkl
census | psportC2X1_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_X1/ckpt_latest.pkl
census | psportC2X1_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_X1/ckpt_020000.pkl
census | psportC2X2_final |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_X2/ckpt_latest.pkl
census | psportC2X2_vsel |  | 2 | - | - | - | - | - | - | True | runs/pretrainsportC2_X2/ckpt_050000.pkl
d3demo | b2d64 |  | 512 | 64 | 128 | 512 | rg | - | void | True | runs/_d3demo_b2d64.pkl
d3demo | s5d16 |  | 512 | 64 | 128 | 512 | rg | - | void | True | runs/_d3demo_s5d16.pkl
full | pfinalAA0 | full_final_t16 | 422786 | 16 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A0/ckpt_latest.pkl
full | pfinalAA0 | full_vsel_t16 | 422786 | 16 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A0/ckpt_040000.pkl
full | pfinalAA0 | full_vsel_t16_alt | 422786 | 16 | 0 | - | trm | False | void | True | runs/pretrainfinalA_A0/ckpt_040000.pkl
full | pfinalAA0 | full_vsel_t64 | 422786 | 64 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A0/ckpt_040000.pkl
full | pfinalAA1 | full_final_t16 | 422786 | 16 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A1/ckpt_latest.pkl
full | pfinalAA1 | full_vsel_t16 | 422786 | 16 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A1/ckpt_042000.pkl
full | pfinalAA1 | full_vsel_t16_alt | 422786 | 16 | 0 | - | trm | False | void | True | runs/pretrainfinalA_A1/ckpt_042000.pkl
full | pfinalAA1 | full_vsel_t64 | 422786 | 64 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A1/ckpt_042000.pkl
full | pfinalAA2 | full_final_t16 | 422786 | 16 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A2/ckpt_latest.pkl
full | pfinalAA2 | full_vsel_t16 | 422786 | 16 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A2/ckpt_048000.pkl
full | pfinalAA2 | full_vsel_t16_alt | 422786 | 16 | 0 | - | trm | False | void | True | runs/pretrainfinalA_A2/ckpt_048000.pkl
full | pfinalAA2 | full_vsel_t64 | 422786 | 64 | 0 | - | trm | True | void | True | runs/pretrainfinalA_A2/ckpt_048000.pkl
full | pfinalAA3 | full_final_t16 | 50000 | 16 | 0 | 50000 | dec | True | void | True | runs/pretrainfinalA_A3/ckpt_latest.pkl
full | pfinalAA3 | full_vsel_t16 | 422786 | 16 | 0 | - | dec | True | void | True | runs/pretrainfinalA_A3/ckpt_042000.pkl
full | pfinalAA3 | full_vsel_t16_alt | 50000 | 16 | 0 | 50000 | dec | False | void | True | runs/pretrainfinalA_A3/ckpt_042000.pkl
full | pfinalAA3 | full_vsel_t64 | 100000 | 64 | 0 | 100000 | dec | True | void | True | runs/pretrainfinalA_A3/ckpt_042000.pkl
full | pfinalAA4 | full_final_t16 | 50000 | 16 | 0 | 50000 | dec | True | void | True | runs/pretrainfinalA_A4/ckpt_latest.pkl
full | pfinalAA4 | full_vsel_t16 | 422786 | 16 | 0 | - | dec | True | void | True | runs/pretrainfinalA_A4/ckpt_010000.pkl
full | pfinalAA4 | full_vsel_t16_alt | 50000 | 16 | 0 | 50000 | dec | False | void | True | runs/pretrainfinalA_A4/ckpt_010000.pkl
full | pfinalAA4 | full_vsel_t64 | 100000 | 64 | 0 | 100000 | dec | True | void | True | runs/pretrainfinalA_A4/ckpt_010000.pkl
full | pfinalAA5 | full_final_t16 | 50000 | 16 | 0 | 50000 | dec | True | void | True | runs/pretrainfinalA_A5/ckpt_latest.pkl
full | pfinalAA5 | full_vsel_t16 | 422786 | 16 | 0 | - | dec | True | void | True | runs/pretrainfinalA_A5/ckpt_028000.pkl
